Date Local,Site Num,Arithmetic Mean,AQI,Latitude,Longitude
2023-12-13,4002,11.1,,35.050918,-85.293019
2023-12-14,4002,7.6375,,35.050918,-85.293019
2023-12-15,4002,15.245833,,35.050918,-85.293019
2023-12-16,4002,14.2875,,35.050918,-85.293019
2023-12-17,4002,4.6,,35.050918,-85.293019
2023-12-18,4002,5.504167,,35.050918,-85.293019
2023-12-19,4002,4.879167,,35.050918,-85.293019
2023-12-20,4002,14.829167,,35.050918,-85.293019
2023-12-21,4002,23.1625,,35.050918,-85.293019
2023-12-22,4002,29.0625,,35.050918,-85.293019
2023-12-23,4002,23.320833,,35.050918,-85.293019
2023-12-24,4002,15.458333,,35.050918,-85.293019
2023-12-25,4002,2.941667,,35.050918,-85.293019
2023-12-26,4002,3.741667,,35.050918,-85.293019
2023-12-27,4002,5.585714,,35.050918,-85.293019
2023-12-28,4002,3.658333,,35.050918,-85.293019
2023-12-29,4002,4.745833,,35.050918,-85.293019
2023-12-30,4002,4.754167,,35.050918,-85.293019
2023-12-31,4002,6.458333,,35.050918,-85.293019
2023-10-01,4002,12.7,58.0,35.050918,-85.293019
2023-10-02,4002,11.1,55.0,35.050918,-85.293019
2023-10-03,4002,9.6,52.0,35.050918,-85.293019
2023-10-04,4002,13.4,59.0,35.050918,-85.293019
2023-10-05,4002,17.4,66.0,35.050918,-85.293019
2023-10-06,4002,12.7,58.0,35.050918,-85.293019
2023-10-07,4002,3.4,19.0,35.050918,-85.293019
2023-10-08,4002,3.4,19.0,35.050918,-85.293019
2023-10-09,4002,4.9,27.0,35.050918,-85.293019
2023-10-10,4002,7.6,42.0,35.050918,-85.293019
2023-10-11,4002,11.5,55.0,35.050918,-85.293019
2023-10-12,4002,11.5,55.0,35.050918,-85.293019
2023-10-13,4002,8.9,49.0,35.050918,-85.293019
2023-10-14,4002,4.8,27.0,35.050918,-85.293019
2023-10-15,4002,2.2,12.0,35.050918,-85.293019
2023-10-16,4002,3.1,17.0,35.050918,-85.293019
2023-10-17,4002,3.8,21.0,35.050918,-85.293019
2023-10-18,4002,6.5,36.0,35.050918,-85.293019
2023-10-19,4002,14.5,61.0,35.050918,-85.293019
2023-10-20,4002,11.4,55.0,35.050918,-85.293019
2023-10-21,4002,5.4,30.0,35.050918,-85.293019
2023-10-22,4002,5.8,32.0,35.050918,-85.293019
2023-10-23,4002,7.4,41.0,35.050918,-85.293019
2023-10-24,4002,9.3,51.0,35.050918,-85.293019
